t H P
0 602 241
1 651 221
2 689 195
3 708 182
4 736 169
5 745 153
6 767 157
7 778 136
8 776 128
9 772 132
10 763 111
11 770 99
12 763 88
13 753 82
14 739 75
15 730 77
16 720 66
17 701 61
18 682 62
19 663 61
20 641 62
21 615 62
22 598 69
23 588 68
24 569 69
25 557 74
26 548 73
27 527 81
28 516 83
29 515 86
30 509 89
31 495 88
32 489 92
33 478 96
34 473 105
35 478 109
36 473 125
37 468 131
38 473 155
39 480 157
40 481 182
41 502 197
42 502 208
43 511 215
44 534 225
45 545 229
46 567 249
47 598 256
48 654 245
49 681 245
50 699 252
51 751 235
52 767 228
53 792 211
54 808 203
55 809 196
56 835 189
57 868 173
58 892 151
59 894 135
60 900 132
61 887 117
62 881 101
63 879 79
64 851 67
65 834 60
66 825 48
67 791 48
68 770 56
69 734 61
70 718 50
71 694 48
72 678 44
73 656 38
74 635 34
75 606 35
76 582 48
77 558 54
78 549 49
79 534 48
80 519 54
81 500 51
82 495 48
83 489 43
84 472 45
85 461 39
86 450 48
87 421 54
88 407 60
89 399 69
90 397 71
91 395 74
92 380 76
93 367 87
94 359 99
95 360 110
96 353 129
97 353 141
98 360 154
99 361 199
100 361 223
101 380 259
102 399 291
103 434 311
104 474 335
105 523 368
106 579 377
107 648 389
108 714 423
109 794 414
110 888 354
111 961 312
112 1024 277
113 1075 253
114 1133 192
115 1163 153
116 1175 120
117 1172 107
118 1172 79
119 1143 67
120 1114 53
