t H P
0 602 241
1 631 237
2 640 247
3 658 239
4 697 233
5 717 215
6 736 205
7 762 175
8 770 164
9 777 158
10 776 157
11 781 162
12 781 156
13 803 146
14 807 125
15 800 122
16 790 120
17 784 117
18 781 109
19 769 97
20 750 93
21 736 93
22 717 98
23 695 92
24 686 81
25 675 84
26 660 85
27 653 77
28 648 79
29 638 83
30 624 86
31 604 93
32 598 100
33 608 88
34 604 86
35 599 86
36 587 82
37 571 96
38 575 84
39 569 84
40 559 82
41 545 93
42 553 84
43 538 91
44 540 85
45 532 89
46 538 88
47 533 80
48 525 87
49 516 93
50 525 83
51 522 84
52 504 95
53 502 102
54 498 120
55 496 122
56 490 140
57 494 136
58 488 145
59 485 173
60 501 182
61 519 179
62 529 181
63 556 165
64 570 175
65 576 175
66 582 175
67 598 174
68 614 175
69 630 198
70 646 207
71 682 196
72 705 173
73 714 173
74 712 178
75 722 185
76 732 179
77 738 165
78 754 155
79 760 147
80 769 129
81 760 131
82 755 123
83 744 133
84 740 136
85 739 129
86 755 116
87 733 109
88 738 107
89 729 110
90 740 105
91 731 101
92 719 95
93 711 98
94 694 97
95 692 95
96 680 90
97 674 100
98 655 109
99 652 102
100 653 99
101 655 93
102 656 101
103 650 98
104 656 97
105 660 104
106 665 96
107 668 91
108 672 81
109 655 79
110 624 82
111 608 86
112 593 104
113 587 109
114 576 120
115 564 117
116 555 129
117 551 136
118 549 152
119 556 170
120 572 159
