t H P
0 602 241
1 631 242
2 655 255
3 678 254
4 722 257
5 774 237
6 807 216
7 842 199
8 857 184
9 865 173
10 883 153
11 891 150
12 903 113
13 887 106
14 882 92
15 870 78
16 844 88
17 830 79
18 804 83
19 797 75
20 775 63
21 754 63
22 733 59
23 709 63
24 698 60
25 683 63
26 659 66
27 637 68
28 619 61
29 607 60
30 602 54
31 581 50
32 573 55
33 549 60
34 545 63
35 534 75
36 511 71
37 493 74
38 483 75
39 465 83
40 456 84
41 454 90
42 451 96
43 449 104
44 449 104
45 452 109
46 454 122
47 454 145
48 461 153
49 473 160
50 485 169
51 508 176
52 531 167
53 549 172
54 555 181
55 557 194
56 571 200
57 590 199
58 620 200
59 636 194
60 658 178
61 663 189
62 682 188
63 699 188
64 712 187
65 726 188
66 753 170
67 760 165
68 765 149
69 774 150
70 779 141
71 789 138
72 799 121
73 798 101
74 786 93
75 771 88
76 768 79
77 746 77
78 740 63
79 721 57
80 702 54
81 687 48
82 665 49
83 642 49
84 619 49
85 610 53
86 582 53
87 570 55
88 546 59
89 533 64
90 524 64
91 520 65
92 502 66
93 479 70
94 467 83
95 459 87
96 456 90
97 438 100
98 438 100
99 434 110
100 432 132
101 436 132
102 426 149
103 421 175
104 424 187
105 435 212
106 448 225
107 474 239
108 504 246
109 524 254
110 553 256
111 584 258
112 616 267
113 651 273
114 684 267
115 722 263
116 750 264
117 784 240
118 839 201
119 871 186
120 895 159
