t H P
0 602 241
1 620 246
2 647 247
3 678 254
4 709 250
5 749 232
6 781 211
7 804 208
8 835 189
9 868 154
10 899 139
11 898 132
12 903 112
13 895 92
14 892 78
15 872 83
16 862 62
17 850 46
18 828 41
19 805 43
20 786 38
21 748 30
22 730 28
23 690 29
24 660 29
25 636 36
26 613 31
27 594 39
28 570 37
29 554 35
30 531 38
31 512 46
32 501 43
33 477 48
34 459 55
35 446 56
36 435 59
37 427 64
38 417 71
39 407 79
40 395 88
41 391 96
42 391 109
43 391 121
44 392 139
45 386 152
46 396 170
47 398 192
48 403 209
49 424 225
50 440 249
51 471 261
52 499 277
53 523 303
54 567 284
55 621 274
56 643 286
57 682 273
58 713 274
59 763 257
60 809 229
61 842 221
62 871 193
63 878 169
64 889 159
65 897 137
66 910 118
67 903 110
68 893 89
69 884 77
70 871 72
71 845 72
72 833 72
73 819 60
74 802 64
75 769 61
76 752 59
77 734 60
78 709 54
79 685 58
80 658 58
81 636 60
82 624 62
83 601 63
84 587 64
85 575 60
86 554 65
87 540 62
88 522 63
89 505 68
90 478 75
91 473 76
92 473 86
93 471 94
94 478 100
95 469 112
96 464 128
97 469 137
98 471 145
99 462 169
100 466 184
101 486 180
102 515 168
103 523 172
104 538 178
105 541 183
106 544 200
107 558 200
108 577 192
109 594 195
110 603 203
111 617 203
112 639 211
113 667 202
114 685 208
115 701 212
116 724 215
117 763 195
118 782 194
119 793 189
120 817 167
