t H P
0 602 241
1 630 241
2 663 226
3 674 239
4 722 233
5 763 218
6 792 222
7 810 208
8 834 187
9 869 165
10 881 151
11 890 141
12 900 125
13 900 112
14 892 93
15 884 84
16 858 83
17 856 90
18 841 77
19 819 70
20 804 72
21 783 73
22 767 61
23 748 60
24 724 58
25 707 54
26 694 47
27 670 42
28 649 39
29 623 37
30 606 42
31 592 38
32 570 46
33 561 42
34 541 47
35 524 42
36 516 40
37 500 45
38 481 46
39 462 45
40 450 50
41 430 52
42 409 56
43 395 56
44 377 66
45 368 69
46 361 85
47 352 100
48 341 110
49 336 120
50 331 131
51 336 138
52 347 150
53 357 160
54 366 178
55 368 192
56 382 220
57 395 236
58 420 243
59 448 260
60 476 277
61 526 284
62 548 290
63 581 291
64 628 277
65 679 287
66 726 257
67 773 224
68 804 199
69 809 184
70 820 180
71 830 172
72 857 143
73 853 144
74 852 139
75 858 130
76 861 104
77 847 94
78 838 87
79 833 70
80 820 73
81 790 69
82 775 63
83 758 64
84 737 54
85 705 55
86 687 57
87 664 55
88 646 70
89 618 71
90 614 64
91 606 63
92 587 65
93 581 66
94 573 65
95 562 69
96 555 69
97 546 66
98 548 56
99 540 64
100 523 66
101 513 70
102 499 76
103 488 78
104 477 81
105 468 81
106 452 102
107 442 103
108 435 115
109 430 127
110 426 144
111 436 144
112 449 147
113 459 179
114 472 190
115 478 206
116 499 213
117 517 217
118 526 232
119 560 238
120 588 251
