t H P
0 602 241
1 621 246
2 643 255
3 683 238
4 716 227
5 757 195
6 776 180
7 785 170
8 803 160
9 810 157
10 823 150
11 836 141
12 865 128
13 839 118
14 832 108
15 832 100
16 816 95
17 788 100
18 773 91
19 769 78
20 763 75
21 751 62
22 730 74
23 719 73
24 715 62
25 696 60
26 684 53
27 654 57
28 642 66
29 627 70
30 613 69
31 605 72
32 595 70
33 575 76
34 574 86
35 570 83
36 559 76
37 549 79
38 534 81
39 523 79
40 518 89
41 517 91
42 507 93
43 496 104
44 505 107
45 508 106
46 506 117
47 507 122
48 503 116
49 500 124
50 494 120
51 493 126
52 501 122
53 501 124
54 505 126
55 503 137
56 502 148
57 500 164
58 501 196
59 517 213
60 540 219
61 554 219
62 590 223
63 617 230
64 638 247
65 684 242
66 710 238
67 739 230
68 772 225
69 795 212
70 821 188
71 845 178
72 867 160
73 864 161
74 884 142
75 879 123
76 879 116
77 873 111
78 877 110
79 870 96
80 854 87
81 838 80
82 828 63
83 805 55
84 782 55
85 767 48
86 742 48
87 721 49
88 703 54
89 684 49
90 643 58
91 628 63
92 616 51
93 588 57
94 572 58
95 552 64
96 530 69
97 518 73
98 512 72
99 503 71
100 484 73
101 470 80
102 460 85
103 454 97
104 457 105
105 447 106
106 447 127
107 437 132
108 434 144
109 428 150
110 423 162
111 440 172
112 450 177
113 466 191
114 466 226
115 486 257
116 513 293
117 563 299
118 605 332
119 649 349
120 717 341
