t H P
0 602 241
1 638 234
2 671 233
3 705 215
4 718 206
5 748 187
6 771 190
7 791 193
8 812 195
9 839 179
10 850 175
11 869 162
12 890 152
13 894 143
14 900 130
15 879 127
16 868 111
17 856 86
18 826 91
19 820 78
20 803 70
21 786 64
22 754 58
23 731 52
24 715 56
25 690 57
26 675 56
27 652 60
28 631 59
29 612 66
30 600 66
31 582 72
32 567 71
33 557 73
34 537 80
35 520 85
36 509 89
37 504 93
38 511 98
39 508 106
40 505 112
41 490 120
42 490 121
43 485 127
44 490 124
45 498 117
46 500 135
47 506 144
48 523 141
49 528 140
50 526 166
51 526 184
52 537 216
53 556 224
54 567 249
55 599 262
56 633 259
57 679 263
58 709 275
59 743 275
60 781 256
61 815 251
62 861 220
63 899 182
64 897 156
65 901 152
66 905 140
67 914 119
68 914 102
69 906 95
70 901 79
71 877 82
72 854 83
73 845 81
74 851 61
75 825 57
76 799 53
77 780 50
78 755 41
79 731 41
80 716 36
81 698 33
82 675 30
83 649 31
84 617 33
85 597 32
86 563 37
87 545 38
88 530 38
89 519 31
90 497 32
91 476 37
92 458 43
93 440 51
94 435 63
95 424 68
96 411 75
97 409 78
98 393 78
99 398 79
100 392 87
101 384 99
102 378 118
103 368 134
104 370 145
105 387 154
106 392 167
107 399 185
108 411 212
109 419 229
110 444 231
111 466 239
112 491 252
113 517 267
114 545 296
115 577 298
116 618 306
117 656 304
118 694 301
119 745 302
120 809 262
