t H P
0 602 241
1 639 237
2 654 245
3 674 242
4 697 240
5 749 223
6 791 215
7 842 195
8 850 185
9 850 186
10 876 164
11 900 143
12 914 123
13 918 108
14 910 93
15 882 81
16 865 76
17 860 65
18 840 52
19 824 42
20 791 45
21 749 42
22 725 34
23 704 32
24 670 39
25 653 33
26 629 33
27 603 35
28 582 33
29 564 35
30 539 32
31 520 33
32 498 26
33 478 23
34 459 23
35 448 23
36 434 27
37 416 27
38 396 31
39 383 30
40 376 30
41 361 32
42 352 34
43 344 37
44 334 37
45 323 39
46 309 48
47 307 50
48 301 60
49 303 65
50 292 73
51 291 100
52 280 107
53 286 117
54 291 123
55 302 130
56 298 140
57 296 158
58 303 171
59 303 190
60 309 216
61 328 236
62 333 289
63 363 320
64 401 359
65 446 383
66 489 389
67 539 422
68 608 417
69 680 450
70 764 444
71 871 411
72 957 372
73 1018 339
74 1101 279
75 1159 223
76 1188 194
77 1237 139
78 1229 110
79 1216 99
80 1205 82
81 1177 63
82 1152 46
83 1093 45
84 1061 31
85 1025 25
86 991 15
87 952 15
88 910 12
89 870 8
90 819 6
91 779 8
92 742 9
93 709 8
94 668 9
95 639 10
96 603 11
97 576 9
98 549 11
99 524 12
100 497 14
101 483 10
102 462 13
103 451 14
104 432 13
105 415 16
106 394 15
107 376 20
108 363 18
109 350 19
110 334 23
111 318 28
112 300 31
113 286 32
114 272 37
115 259 49
116 252 58
117 239 73
118 235 86
119 227 103
120 226 124
